model, mean, std
alpha_0.5_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_0,0.7333225800000001,0.07001389228391464
alpha_0.5_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_1,0.7350574200000001,0.07188241103874855
alpha_0.5_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_2,0.73436286,0.07045958861376073
alpha_0.5_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_all,0.7342476200000001,
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_0,0.7367801399999999,0.06828629789189336
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_1,0.73619362,0.07041757421763122
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_2,0.7377945600000001,0.07121381110716095
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_all,0.7369227733333333,
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_0,0.7347454999999999,0.07078458619466528
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_1,0.7355274999999999,0.0692043989812064
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_2,0.73557712,0.07234766640677223
alpha_0.5_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_all,0.7352833733333332,
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_0,0.7335619400000001,0.06654029268673531
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_1,0.7347159200000001,0.0730971159386853
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_2,0.73583858,0.07069620609469507
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-05_all,0.73470548,
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-06_fold_0,0.7351923400000001,0.07097022433897472
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-06_fold_1,0.73551,0.0720638496001983
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-06_fold_2,0.73706914,0.07010480641625366
alpha_0.5_lr_0.001_regularizer_l1_0.0001_l2_1e-06_all,0.7359238266666667,
alpha_0.5_lr_0.001_regularizer_l1_1e-05_l2_1e-05_fold_0,0.73616634,0.0705352122928995
alpha_0.5_lr_0.001_regularizer_l1_1e-05_l2_1e-05_fold_1,0.73536198,0.07236162431482311
alpha_0.5_lr_0.001_regularizer_l1_1e-05_l2_1e-05_fold_2,0.73530962,0.0692437204319323
alpha_0.5_lr_0.001_regularizer_l1_1e-05_l2_1e-05_all,0.7356126466666666,
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_0,0.7368802799999999,0.06891408540727796
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_1,0.7356524400000001,0.07191107427960175
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_fold_2,0.73472498,0.0677421522288715
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-05_all,0.7357525666666667,
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-06_fold_0,0.73459436,0.0688977988602713
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-06_fold_1,0.7354865199999999,0.07177897279210396
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-06_fold_2,0.73218818,0.074540597969748
alpha_1.0_lr_0.0001_regularizer_l1_0.0001_l2_1e-06_all,0.7340896866666666,
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_0,0.7345861,0.07245589011660818
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_1,0.73806804,0.06726880237791066
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_fold_2,0.73750156,0.07194749645655783
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-05_all,0.7367185666666667,
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_0,0.7349161799999999,0.06764841438206516
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_1,0.7323620200000001,0.07189544075474884
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_fold_2,0.7369639600000001,0.07049926384238632
alpha_1.0_lr_0.0001_regularizer_l1_1e-05_l2_1e-06_all,0.7347473866666667,
alpha_1.0_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_0,0.73345072,0.07159129360391248
alpha_1.0_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_1,0.73435414,0.0709662084562815
alpha_1.0_lr_0.001_regularizer_l1_0.0001_l2_1e-05_fold_2,0.7347358999999999,0.06992737063975736
alpha_1.0_lr_0.001_regularizer_l1_0.0001_l2_1e-05_all,0.7341802533333333,
alpha_1.0_lr_0.001_regularizer_l1_1e-05_l2_1e-06_fold_0,0.73488266,0.07154909630962783
alpha_1.0_lr_0.001_regularizer_l1_1e-05_l2_1e-06_fold_1,0.7325507800000001,0.07046559504035711
alpha_1.0_lr_0.001_regularizer_l1_1e-05_l2_1e-06_fold_2,0.7341342,0.07437534628060564
alpha_1.0_lr_0.001_regularizer_l1_1e-05_l2_1e-06_all,0.7338558800000001,
